clip,start,,,,id
3001_21_JUMP_STREET_00.38.15.474-00.38.20.341,00.38.15.474,00.38.20.341,00.38.15.474,00.38.20.341,[3001_PERSON10]
3001_21_JUMP_STREET_00.38.22.341-00.38.27.280,00.38.22.341,00.38.27.280,00.38.22.341,00.38.27.280,_
3001_21_JUMP_STREET_00.38.28.003-00.38.29.860,00.38.28.003,00.38.29.860,00.38.27.932,00.38.29.932,[3001_PERSON12]
3001_21_JUMP_STREET_00.38.29.960-00.38.36.332,00.38.29.960,00.38.36.332,00.38.29.960,00.38.36.332,[3001_PERSON17]
3001_21_JUMP_STREET_00.38.36.821-00.38.39.139,00.38.36.821,00.38.39.139,00.38.36.821,00.38.39.139,[3001_PERSON17]
3001_21_JUMP_STREET_00.38.41.448-00.38.48.557,00.38.41.448,00.38.48.557,00.38.41.448,00.38.48.557,[3001_PERSON17]
3001_21_JUMP_STREET_00.38.49.181-00.38.49.728,00.38.49.181,00.38.49.728,00.38.48.455,00.38.50.455,[3001_PERSON10]
3001_21_JUMP_STREET_00.38.51.733-00.38.55.084,00.38.51.733,00.38.55.084,00.38.51.733,00.38.55.084,[3001_PERSON10]
3001_21_JUMP_STREET_00.39.03.116-00.39.04.449,00.39.03.116,00.39.04.449,00.39.02.783,00.39.04.783,[3001_PERSON17]
3001_21_JUMP_STREET_00.39.04.649-00.39.08.646,00.39.04.649,00.39.08.646,00.39.04.649,00.39.08.646,[3001_PERSON17]
3001_21_JUMP_STREET_00.39.10.781-00.39.13.173,00.39.10.781,00.39.13.173,00.39.10.781,00.39.13.173,[3001_PERSON10]
3001_21_JUMP_STREET_00.39.13.273-00.39.16.573,00.39.13.273,00.39.16.573,00.39.13.273,00.39.16.573,[3001_PERSON17]
3001_21_JUMP_STREET_00.39.17.756-00.39.25.591,00.39.17.756,00.39.25.591,00.39.17.756,00.39.25.591,"[3001_PERSON12],[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.39.32.358-00.39.35.237,00.39.32.358,00.39.35.237,00.39.32.358,00.39.35.237,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.39.41.650-00.39.44.337,00.39.41.650,00.39.44.337,00.39.41.650,00.39.44.337,_
3001_21_JUMP_STREET_00.40.59.494-00.41.02.072,00.40.59.494,00.41.02.072,00.40.59.494,00.41.02.072,[3001_PERSON10]
3001_21_JUMP_STREET_00.41.04.205-00.41.05.826,00.41.04.205,00.41.05.826,00.41.04.016,00.41.06.016,[3001_PERSON10]
3001_21_JUMP_STREET_00.41.09.145-00.41.12.804,00.41.09.145,00.41.12.804,00.41.09.145,00.41.12.804,[3001_PERSON10]
3001_21_JUMP_STREET_00.41.15.262-00.41.19.579,00.41.15.262,00.41.19.579,00.41.15.262,00.41.19.579,[3001_PERSON21]
3001_21_JUMP_STREET_00.41.54.986-00.41.56.886,00.41.54.986,00.41.56.886,00.41.54.936,00.41.56.936,"[3001_PERSON10],[3001_PERSON21]"
3001_21_JUMP_STREET_00.41.57.694-00.41.58.910,00.41.57.694,00.41.58.910,00.41.57.302,00.41.59.302,_
3001_21_JUMP_STREET_00.42.34.571-00.42.36.578,00.42.34.571,00.42.36.578,00.42.34.571,00.42.36.578,[3001_PERSON21]
3001_21_JUMP_STREET_00.42.41.215-00.42.43.692,00.42.41.215,00.42.43.692,00.42.41.215,00.42.43.692,[3001_PERSON21]
3001_21_JUMP_STREET_00.43.34.225-00.43.36.978,00.43.34.225,00.43.36.978,00.43.34.225,00.43.36.978,[3001_PERSON17]
3001_21_JUMP_STREET_00.43.36.978-00.43.41.047,00.43.36.978,00.43.41.047,00.43.36.978,00.43.41.047,[3001_PERSON12]
3001_21_JUMP_STREET_00.44.12.900-00.44.14.935,00.44.12.900,00.44.14.935,00.44.12.900,00.44.14.935,[3001_PERSON12]
3001_21_JUMP_STREET_00.44.15.406-00.44.16.550,00.44.15.406,00.44.16.550,00.44.14.978,00.44.16.978,[3001_PERSON17]
3001_21_JUMP_STREET_00.44.53.302-00.44.54.902,00.44.53.302,00.44.54.902,00.44.53.102,00.44.55.102,_
3001_21_JUMP_STREET_00.45.06.836-00.45.08.721,00.45.06.836,00.45.08.721,00.45.06.779,00.45.08.779,[3001_PERSON10]
3001_21_JUMP_STREET_00.45.11.049-00.45.13.692,00.45.11.049,00.45.13.692,00.45.11.049,00.45.13.692,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.45.16.638-00.45.20.257,00.45.16.638,00.45.20.257,00.45.16.638,00.45.20.257,[3001_PERSON10]
3001_21_JUMP_STREET_00.45.23.204-00.45.25.556,00.45.23.204,00.45.25.556,00.45.23.204,00.45.25.556,[3001_PERSON17]
3001_21_JUMP_STREET_00.45.38.028-00.45.39.918,00.45.38.028,00.45.39.918,00.45.37.973,00.45.39.973,[3001_PERSON10]
3001_21_JUMP_STREET_00.45.43.284-00.45.46.056,00.45.43.284,00.45.46.056,00.45.43.284,00.45.46.056,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.45.51.187-00.45.53.187,00.45.51.187,00.45.53.187,00.45.51.187,00.45.53.187,[3001_PERSON12]
3001_21_JUMP_STREET_00.45.53.808-00.45.56.773,00.45.53.808,00.45.56.773,00.45.53.808,00.45.56.773,[3001_PERSON22]
3001_21_JUMP_STREET_00.46.02.742-00.46.05.081,00.46.02.742,00.46.05.081,00.46.02.742,00.46.05.081,"[3001_PERSON17],[3001_PERSON10],[3001_PERSON22]"
3001_21_JUMP_STREET_00.46.29.684-00.46.33.301,00.46.29.684,00.46.33.301,00.46.29.684,00.46.33.301,_
3001_21_JUMP_STREET_00.46.43.284-00.46.47.109,00.46.43.284,00.46.47.109,00.46.43.284,00.46.47.109,[3001_PERSON10]
3001_21_JUMP_STREET_00.46.53.338-00.46.54.648,00.46.53.338,00.46.54.648,00.46.52.993,00.46.54.993,_
3001_21_JUMP_STREET_00.46.54.747-00.46.57.414,00.46.54.747,00.46.57.414,00.46.54.747,00.46.57.414,_
3001_21_JUMP_STREET_00.46.57.490-00.47.00.302,00.46.57.490,00.47.00.302,00.46.57.490,00.47.00.302,_
3001_21_JUMP_STREET_00.47.06.305-00.47.10.145,00.47.06.305,00.47.10.145,00.47.06.305,00.47.10.145,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.47.18.366-00.47.19.466,00.47.18.366,00.47.19.466,00.47.17.916,00.47.19.916,_
3001_21_JUMP_STREET_00.47.20.482-00.47.21.182,00.47.20.482,00.47.21.182,00.47.19.832,00.47.21.832,_
3001_21_JUMP_STREET_00.47.21.228-00.47.25.900,00.47.21.228,00.47.25.900,00.47.21.228,00.47.25.900,_
3001_21_JUMP_STREET_00.47.26.000-00.47.27.242,00.47.26.000,00.47.27.242,00.47.25.621,00.47.27.621,_
3001_21_JUMP_STREET_00.47.27.342-00.47.31.313,00.47.27.342,00.47.31.313,00.47.27.342,00.47.31.313,_
3001_21_JUMP_STREET_00.47.37.765-00.47.45.459,00.47.37.765,00.47.45.459,00.47.37.765,00.47.45.459,_
3001_21_JUMP_STREET_00.47.45.159-00.47.46.331,00.47.45.159,00.47.46.331,00.47.44.745,00.47.46.745,[3001_PERSON17]
3001_21_JUMP_STREET_00.47.48.277-00.47.51.617,00.47.48.277,00.47.51.617,00.47.48.277,00.47.51.617,[3001_PERSON10]
3001_21_JUMP_STREET_00.47.53.482-00.47.57.105,00.47.53.482,00.47.57.105,00.47.53.482,00.47.57.105,[3001_PERSON10]
3001_21_JUMP_STREET_00.48.00.292-00.48.02.037,00.48.00.292,00.48.02.037,00.48.00.165,00.48.02.165,_
3001_21_JUMP_STREET_00.48.12.528-00.48.17.075,00.48.12.528,00.48.17.075,00.48.12.528,00.48.17.075,"[3001_PERSON6],[3001_PERSON12]"
3001_21_JUMP_STREET_00.48.17.175-00.48.18.415,00.48.17.175,00.48.18.415,00.48.16.795,00.48.18.795,_
3001_21_JUMP_STREET_00.48.38.701-00.48.41.172,00.48.38.701,00.48.41.172,00.48.38.701,00.48.41.172,"[3001_PERSON10],[3001_PERSON6]"
3001_21_JUMP_STREET_00.48.49.711-00.48.50.111,00.48.49.711,00.48.50.111,00.48.48.911,00.48.50.911,[3001_PERSON10]
3001_21_JUMP_STREET_00.48.50.211-00.48.54.445,00.48.50.211,00.48.54.445,00.48.50.211,00.48.54.445,"[3001_PERSON6],[3001_PERSON10]"
3001_21_JUMP_STREET_00.48.54.445-00.48.57.255,00.48.54.445,00.48.57.255,00.48.54.445,00.48.57.255,[3001_PERSON10]
3001_21_JUMP_STREET_00.49.15.070-00.49.19.433,00.49.15.070,00.49.19.433,00.49.15.070,00.49.19.433,_
3001_21_JUMP_STREET_00.49.23.675-00.49.24.184,00.49.23.675,00.49.24.184,00.49.22.930,00.49.24.930,[3001_PERSON16]
3001_21_JUMP_STREET_00.49.35.195-00.49.37.528,00.49.35.195,00.49.37.528,00.49.35.195,00.49.37.528,_
3001_21_JUMP_STREET_00.49.37.528-00.49.39.191,00.49.37.528,00.49.39.191,00.49.37.360,00.49.39.360,_
3001_21_JUMP_STREET_00.49.43.424-00.49.47.356,00.49.43.424,00.49.47.356,00.49.43.424,00.49.47.356,_
3001_21_JUMP_STREET_00.49.53.638-00.49.57.303,00.49.53.638,00.49.57.303,00.49.53.638,00.49.57.303,"[3001_PERSON10],[3001_PERSON16]"
3001_21_JUMP_STREET_00.50.06.895-00.50.18.913,00.50.06.895,00.50.18.913,00.50.06.895,00.50.18.913,"[3001_PERSON6],[3001_PERSON17]"
3001_21_JUMP_STREET_00.50.30.485-00.50.31.679,00.50.30.485,00.50.31.679,00.50.30.082,00.50.32.082,[3001_PERSON6]
3001_21_JUMP_STREET_00.50.38.556-00.50.41.997,00.50.38.556,00.50.41.997,00.50.38.556,00.50.41.997,"[3001_PERSON17],[3001_PERSON18]"
3001_21_JUMP_STREET_00.50.54.787-00.50.58.819,00.50.54.787,00.50.58.819,00.50.54.787,00.50.58.819,[3001_PERSON17]
3001_21_JUMP_STREET_00.50.59.576-00.51.01.617,00.50.59.576,00.51.01.617,00.50.59.576,00.51.01.617,[3001_PERSON17]
3001_21_JUMP_STREET_00.51.08.928-00.51.10.355,00.51.08.928,00.51.10.355,00.51.08.642,00.51.10.642,[3001_PERSON18]
3001_21_JUMP_STREET_00.51.13.517-00.51.14.971,00.51.13.517,00.51.14.971,00.51.13.244,00.51.15.244,[3001_PERSON10]
3001_21_JUMP_STREET_00.51.16.109-00.51.19.791,00.51.16.109,00.51.19.791,00.51.16.109,00.51.19.791,"[3001_PERSON17],[3001_PERSON18],[3001_PERSON10]"
3001_21_JUMP_STREET_00.51.19.791-00.51.28.539,00.51.19.791,00.51.28.539,00.51.19.791,00.51.28.539,"[3001_PERSON10],[3001_PERSON18]"
3001_21_JUMP_STREET_00.51.28.743-00.51.29.326,00.51.28.743,00.51.29.326,00.51.28.035,00.51.30.035,_
3001_21_JUMP_STREET_00.51.29.326-00.51.30.326,00.51.29.326,00.51.30.326,00.51.28.826,00.51.30.826,[3001_PERSON12]
3001_21_JUMP_STREET_00.51.33.326-00.51.34.826,00.51.33.326,00.51.34.826,00.51.33.076,00.51.35.076,"[3001_PERSON18],[3001_PERSON17]"
3001_21_JUMP_STREET_00.51.39.826-00.51.40.826,00.51.39.826,00.51.40.826,00.51.39.326,00.51.41.326,_
3001_21_JUMP_STREET_00.51.41.826-00.51.43.826,00.51.41.826,00.51.43.826,00.51.41.826,00.51.43.826,_
3001_21_JUMP_STREET_00.51.44.826-00.51.52.871,00.51.44.826,00.51.52.871,00.51.44.826,00.51.52.871,"[3001_PERSON18],[3001_PERSON17]"
3001_21_JUMP_STREET_00.51.52.871-00.51.59.203,00.51.52.871,00.51.59.203,00.51.52.871,00.51.59.203,"[3001_PERSON10],[3001_PERSON18],[3001_PERSON17]"
3001_21_JUMP_STREET_00.52.03.137-00.52.04.458,00.52.03.137,00.52.04.458,00.52.02.798,00.52.04.798,[3001_PERSON17]
3001_21_JUMP_STREET_00.52.04.458-00.52.06.159,00.52.04.458,00.52.06.159,00.52.04.309,00.52.06.309,_
3001_21_JUMP_STREET_00.52.07.007-00.52.13.274,00.52.07.007,00.52.13.274,00.52.07.007,00.52.13.274,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_00.52.13.540-00.52.15.633,00.52.13.540,00.52.15.633,00.52.13.540,00.52.15.633,_
3001_21_JUMP_STREET_00.52.15.633-00.52.21.682,00.52.15.633,00.52.21.682,00.52.15.633,00.52.21.682,[3001_PERSON10]
3001_21_JUMP_STREET_00.52.22.618-00.52.28.567,00.52.22.618,00.52.28.567,00.52.22.618,00.52.28.567,[3001_PERSON17]
3001_21_JUMP_STREET_00.52.38.531-00.52.41.710,00.52.38.531,00.52.41.710,00.52.38.531,00.52.41.710,"[3001_PERSON12],[3001_PERSON6],[3001_PERSON10]"
3001_21_JUMP_STREET_00.52.42.210-00.52.50.640,00.52.42.210,00.52.50.640,00.52.42.210,00.52.50.640,_
3001_21_JUMP_STREET_00.53.01.445-00.53.02.473,00.53.01.445,00.53.02.473,00.53.00.959,00.53.02.959,[3001_PERSON17]
3001_21_JUMP_STREET_00.53.02.473-00.53.15.089,00.53.02.473,00.53.15.089,00.53.02.473,00.53.15.089,"[3001_PERSON10],[3001_PERSON12]"
3001_21_JUMP_STREET_00.53.15.460-00.53.16.561,00.53.15.460,00.53.16.561,00.53.15.011,00.53.17.011,[3001_PERSON12]
3001_21_JUMP_STREET_00.53.20.179-00.53.22.971,00.53.20.179,00.53.22.971,00.53.20.179,00.53.22.971,[3001_PERSON17]
3001_21_JUMP_STREET_00.53.23.054-00.53.27.316,00.53.23.054,00.53.27.316,00.53.23.054,00.53.27.316,"[3001_PERSON17],[3001_PERSON6],[3001_PERSON12]"
3001_21_JUMP_STREET_00.53.28.365-00.53.32.141,00.53.28.365,00.53.32.141,00.53.28.365,00.53.32.141,[3001_PERSON10]
3001_21_JUMP_STREET_00.53.33.989-00.53.37.235,00.53.33.989,00.53.37.235,00.53.33.989,00.53.37.235,_
3001_21_JUMP_STREET_00.53.37.839-00.53.40.142,00.53.37.839,00.53.40.142,00.53.37.839,00.53.40.142,"[3001_PERSON17],[3001_PERSON17]"
3001_21_JUMP_STREET_00.53.40.731-00.53.42.727,00.53.40.731,00.53.42.727,00.53.40.729,00.53.42.729,[3001_PERSON16]
3001_21_JUMP_STREET_00.53.44.031-00.53.47.169,00.53.44.031,00.53.47.169,00.53.44.031,00.53.47.169,"[3001_PERSON6],[3001_PERSON12]"
3001_21_JUMP_STREET_00.53.47.369-00.53.49.565,00.53.47.369,00.53.49.565,00.53.47.369,00.53.49.565,"[3001_PERSON10],[3001_PERSON21]"
3001_21_JUMP_STREET_00.53.49.765-00.53.54.024,00.53.49.765,00.53.54.024,00.53.49.765,00.53.54.024,"[3001_PERSON17],[3001_PERSON12],[3001_PERSON10]"
3001_21_JUMP_STREET_00.53.54.904-00.53.55.798,00.53.54.904,00.53.55.798,00.53.54.351,00.53.56.351,[3001_PERSON10]
3001_21_JUMP_STREET_00.53.55.898-00.53.56.733,00.53.55.898,00.53.56.733,00.53.55.316,00.53.57.316,[3001_PERSON6]
3001_21_JUMP_STREET_00.53.58.571-00.54.05.004,00.53.58.571,00.54.05.004,00.53.58.571,00.54.05.004,"[3001_PERSON17],[3001_PERSON12]"
3001_21_JUMP_STREET_00.54.05.429-00.54.08.075,00.54.05.429,00.54.08.075,00.54.05.429,00.54.08.075,_
3001_21_JUMP_STREET_00.54.09.478-00.54.12.790,00.54.09.478,00.54.12.790,00.54.09.478,00.54.12.790,[3001_PERSON1]
3001_21_JUMP_STREET_00.54.13.213-00.54.15.168,00.54.13.213,00.54.15.168,00.54.13.191,00.54.15.191,_
3001_21_JUMP_STREET_00.54.16.660-00.54.18.984,00.54.16.660,00.54.18.984,00.54.16.660,00.54.18.984,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.54.22.164-00.54.24.220,00.54.22.164,00.54.24.220,00.54.22.164,00.54.24.220,[3001_PERSON1]
3001_21_JUMP_STREET_00.54.25.942-00.54.30.592,00.54.25.942,00.54.30.592,00.54.25.942,00.54.30.592,"[3001_PERSON17],[3001_PERSON6]"
3001_21_JUMP_STREET_00.55.00.912-00.55.03.630,00.55.00.912,00.55.03.630,00.55.00.912,00.55.03.630,[3001_PERSON10]
3001_21_JUMP_STREET_00.55.07.937-00.55.14.321,00.55.07.937,00.55.14.321,00.55.07.937,00.55.14.321,"[3001_PERSON6],[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_00.55.16.292-00.55.18.700,00.55.16.292,00.55.18.700,00.55.16.292,00.55.18.700,[3001_PERSON1]
3001_21_JUMP_STREET_00.55.48.240-00.55.52.852,00.55.48.240,00.55.52.852,00.55.48.240,00.55.52.852,_
3001_21_JUMP_STREET_00.56.16.040-00.56.19.887,00.56.16.040,00.56.19.887,00.56.16.040,00.56.19.887,[3001_PERSON10]
3001_21_JUMP_STREET_00.56.21.627-00.56.24.898,00.56.21.627,00.56.24.898,00.56.21.627,00.56.24.898,"[3001_PERSON17],[3001_PERSON6]"
3001_21_JUMP_STREET_00.56.25.251-00.56.26.433,00.56.25.251,00.56.26.433,00.56.24.842,00.56.26.842,[3001_PERSON6]
3001_21_JUMP_STREET_00.56.26.619-00.56.27.833,00.56.26.619,00.56.27.833,00.56.26.226,00.56.28.226,_
3001_21_JUMP_STREET_00.56.31.662-00.56.34.677,00.56.31.662,00.56.34.677,00.56.31.662,00.56.34.677,"[3001_PERSON10],[3001_PERSON22],[3001_PERSON17]"
3001_21_JUMP_STREET_00.56.36.768-00.56.38.943,00.56.36.768,00.56.38.943,00.56.36.768,00.56.38.943,"[3001_PERSON17],[3001_PERSON6]"
3001_21_JUMP_STREET_00.56.41.665-00.56.44.840,00.56.41.665,00.56.44.840,00.56.41.665,00.56.44.840,[3001_PERSON10]
3001_21_JUMP_STREET_00.56.45.206-00.56.51.591,00.56.45.206,00.56.51.591,00.56.45.206,00.56.51.591,_
3001_21_JUMP_STREET_00.56.51.715-00.56.54.351,00.56.51.715,00.56.54.351,00.56.51.715,00.56.54.351,[3001_PERSON10]
3001_21_JUMP_STREET_00.56.54.651-00.56.56.171,00.56.54.651,00.56.56.171,00.56.54.411,00.56.56.411,[3001_PERSON10]
3001_21_JUMP_STREET_00.57.11.717-00.57.13.999,00.57.11.717,00.57.13.999,00.57.11.717,00.57.13.999,_
3001_21_JUMP_STREET_00.57.14.099-00.57.16.108,00.57.14.099,00.57.16.108,00.57.14.099,00.57.16.108,_
3001_21_JUMP_STREET_00.57.16.108-00.57.18.807,00.57.16.108,00.57.18.807,00.57.16.108,00.57.18.807,_
3001_21_JUMP_STREET_00.57.28.144-00.57.30.912,00.57.28.144,00.57.30.912,00.57.28.144,00.57.30.912,"[3001_PERSON6],[3001_PERSON17]"
3001_21_JUMP_STREET_00.57.36.474-00.57.39.384,00.57.36.474,00.57.39.384,00.57.36.474,00.57.39.384,[3001_PERSON12]
3001_21_JUMP_STREET_00.57.43.808-00.57.46.806,00.57.43.808,00.57.46.806,00.57.43.808,00.57.46.806,_
3001_21_JUMP_STREET_00.58.06.323-00.58.08.418,00.58.06.323,00.58.08.418,00.58.06.323,00.58.08.418,[3001_PERSON15]
3001_21_JUMP_STREET_00.58.09.810-00.58.10.963,00.58.09.810,00.58.10.963,00.58.09.387,00.58.11.387,[3001_PERSON15]
3001_21_JUMP_STREET_00.58.14.224-00.58.19.613,00.58.14.224,00.58.19.613,00.58.14.224,00.58.19.613,[3001_PERSON17]
3001_21_JUMP_STREET_00.58.28.983-00.58.36.440,00.58.28.983,00.58.36.440,00.58.28.983,00.58.36.440,"[3001_PERSON6],[3001_PERSON17]"
3001_21_JUMP_STREET_00.58.40.082-00.58.43.877,00.58.40.082,00.58.43.877,00.58.40.082,00.58.43.877,[3001_PERSON15]
3001_21_JUMP_STREET_00.58.53.271-00.58.56.362,00.58.53.271,00.58.56.362,00.58.53.271,00.58.56.362,"[3001_PERSON17],[3001_PERSON15]"
3001_21_JUMP_STREET_00.59.09.917-00.59.10.388,00.59.09.917,00.59.10.388,00.59.09.153,00.59.11.153,[3001_PERSON17]
3001_21_JUMP_STREET_00.59.10.488-00.59.16.246,00.59.10.488,00.59.16.246,00.59.10.488,00.59.16.246,[3001_PERSON10]
3001_21_JUMP_STREET_00.59.16.246-00.59.18.773,00.59.16.246,00.59.18.773,00.59.16.246,00.59.18.773,_
3001_21_JUMP_STREET_00.59.28.693-00.59.38.210,00.59.28.693,00.59.38.210,00.59.28.693,00.59.38.210,"[3001_PERSON17],[3001_PERSON6]"
3001_21_JUMP_STREET_00.59.40.971-00.59.47.250,00.59.40.971,00.59.47.250,00.59.40.971,00.59.47.250,"[3001_PERSON12],[3001_PERSON17]"
3001_21_JUMP_STREET_00.59.53.095-00.59.55.706,00.59.53.095,00.59.55.706,00.59.53.095,00.59.55.706,"[3001_PERSON6],[3001_PERSON12]"
3001_21_JUMP_STREET_01.00.04.040-01.00.09.457,01.00.04.040,01.00.09.457,01.00.04.040,01.00.09.457,[3001_PERSON10]
3001_21_JUMP_STREET_01.00.17.706-01.00.23.930,01.00.17.706,01.00.23.930,01.00.17.706,01.00.23.930,[3001_PERSON6]
3001_21_JUMP_STREET_01.00.26.752-01.00.29.627,01.00.26.752,01.00.29.627,01.00.26.752,01.00.29.627,_
3001_21_JUMP_STREET_01.00.42.690-01.00.44.512,01.00.42.690,01.00.44.512,01.00.42.601,01.00.44.601,_
3001_21_JUMP_STREET_01.00.50.241-01.00.51.665,01.00.50.241,01.00.51.665,01.00.49.953,01.00.51.953,_
3001_21_JUMP_STREET_01.00.51.665-01.00.55.429,01.00.51.665,01.00.55.429,01.00.51.665,01.00.55.429,[3001_PERSON17]
3001_21_JUMP_STREET_01.00.57.988-01.01.00.333,01.00.57.988,01.01.00.333,01.00.57.988,01.01.00.333,[3001_PERSON17]
3001_21_JUMP_STREET_01.01.01.596-01.01.03.085,01.01.01.596,01.01.03.085,01.01.01.341,01.01.03.341,[3001_PERSON17]
3001_21_JUMP_STREET_01.01.03.085-01.01.04.348,01.01.03.085,01.01.04.348,01.01.02.717,01.01.04.717,_
3001_21_JUMP_STREET_01.01.05.317-01.01.10.466,01.01.05.317,01.01.10.466,01.01.05.317,01.01.10.466,"[3001_PERSON10],[3001_PERSON17],[3001_PERSON12]"
3001_21_JUMP_STREET_01.01.14.616-01.01.18.281,01.01.14.616,01.01.18.281,01.01.14.616,01.01.18.281,"[3001_PERSON12],[3001_PERSON17]"
3001_21_JUMP_STREET_01.01.53.282-01.01.57.909,01.01.53.282,01.01.57.909,01.01.53.282,01.01.57.909,[3001_PERSON21]
3001_21_JUMP_STREET_01.02.42.444-01.02.45.200,01.02.42.444,01.02.45.200,01.02.42.444,01.02.45.200,[3001_PERSON12]
3001_21_JUMP_STREET_01.02.46.570-01.02.50.647,01.02.46.570,01.02.50.647,01.02.46.570,01.02.50.647,[3001_PERSON17]
3001_21_JUMP_STREET_01.03.30.998-01.03.33.933,01.03.30.998,01.03.33.933,01.03.30.998,01.03.33.933,[3001_PERSON12]
3001_21_JUMP_STREET_01.03.43.099-01.03.50.913,01.03.43.099,01.03.50.913,01.03.43.099,01.03.50.913,[3001_PERSON12]
3001_21_JUMP_STREET_01.03.50.913-01.03.54.291,01.03.50.913,01.03.54.291,01.03.50.913,01.03.54.291,[3001_PERSON12]
3001_21_JUMP_STREET_01.03.54.291-01.03.59.500,01.03.54.291,01.03.59.500,01.03.54.291,01.03.59.500,[3001_PERSON12]
3001_21_JUMP_STREET_01.04.03.631-01.04.07.840,01.04.03.631,01.04.07.840,01.04.03.631,01.04.07.840,[3001_PERSON6]
3001_21_JUMP_STREET_01.04.37.979-01.04.39.556,01.04.37.979,01.04.39.556,01.04.37.768,01.04.39.768,[3001_PERSON21]
3001_21_JUMP_STREET_01.04.40.914-01.04.43.006,01.04.40.914,01.04.43.006,01.04.40.914,01.04.43.006,[3001_PERSON10]
3001_21_JUMP_STREET_01.04.43.310-01.04.47.422,01.04.43.310,01.04.47.422,01.04.43.310,01.04.47.422,[3001_PERSON17]
3001_21_JUMP_STREET_01.04.50.038-01.04.58.309,01.04.50.038,01.04.58.309,01.04.50.038,01.04.58.309,[3001_PERSON10]
3001_21_JUMP_STREET_01.04.58.906-01.05.01.680,01.04.58.906,01.05.01.680,01.04.58.906,01.05.01.680,[3001_PERSON7]
3001_21_JUMP_STREET_01.05.17.459-01.05.22.480,01.05.17.459,01.05.22.480,01.05.17.459,01.05.22.480,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.05.35.579-01.05.38.403,01.05.35.579,01.05.38.403,01.05.35.579,01.05.38.403,"[3001_PERSON17],[3001_PERSON22]"
3001_21_JUMP_STREET_01.05.40.467-01.05.43.619,01.05.40.467,01.05.43.619,01.05.40.467,01.05.43.619,[3001_PERSON17]
3001_21_JUMP_STREET_01.05.52.083-01.05.56.867,01.05.52.083,01.05.56.867,01.05.52.083,01.05.56.867,_
3001_21_JUMP_STREET_01.06.04.294-01.06.10.773,01.06.04.294,01.06.10.773,01.06.04.294,01.06.10.773,[3001_PERSON12]
3001_21_JUMP_STREET_01.06.10.773-01.06.13.450,01.06.10.773,01.06.13.450,01.06.10.773,01.06.13.450,[3001_PERSON17]
3001_21_JUMP_STREET_01.06.18.887-01.06.23.994,01.06.18.887,01.06.23.994,01.06.18.887,01.06.23.994,"[3001_PERSON17],[3001_PERSON12]"
3001_21_JUMP_STREET_01.06.24.831-01.06.32.716,01.06.24.831,01.06.32.716,01.06.24.831,01.06.32.716,[3001_PERSON12]
3001_21_JUMP_STREET_01.06.35.302-01.06.39.326,01.06.35.302,01.06.39.326,01.06.35.302,01.06.39.326,[3001_PERSON10]
3001_21_JUMP_STREET_01.06.39.326-01.06.46.589,01.06.39.326,01.06.46.589,01.06.39.326,01.06.46.589,[3001_PERSON10]
3001_21_JUMP_STREET_01.07.05.420-01.07.09.715,01.07.05.420,01.07.09.715,01.07.05.420,01.07.09.715,"[3001_PERSON10],[3001_PERSON8]"
3001_21_JUMP_STREET_01.07.10.556-01.07.14.627,01.07.10.556,01.07.14.627,01.07.10.556,01.07.14.627,[3001_PERSON6]
3001_21_JUMP_STREET_01.07.18.932-01.07.21.585,01.07.18.932,01.07.21.585,01.07.18.932,01.07.21.585,_
3001_21_JUMP_STREET_01.07.58.368-01.08.01.263,01.07.58.368,01.08.01.263,01.07.58.368,01.08.01.263,[3001_PERSON6]
3001_21_JUMP_STREET_01.08.03.911-01.08.07.879,01.08.03.911,01.08.07.879,01.08.03.911,01.08.07.879,[3001_PERSON10]
3001_21_JUMP_STREET_01.08.07.173-01.08.08.472,01.08.07.173,01.08.08.472,01.08.06.823,01.08.08.823,[3001_PERSON10]
3001_21_JUMP_STREET_01.08.07.992-01.08.13.662,01.08.07.992,01.08.13.662,01.08.07.992,01.08.13.662,_
3001_21_JUMP_STREET_01.08.13.662-01.08.19.329,01.08.13.662,01.08.19.329,01.08.13.662,01.08.19.329,_
3001_21_JUMP_STREET_01.08.19.788-01.08.21.470,01.08.19.788,01.08.21.470,01.08.19.629,01.08.21.629,[3001_PERSON10]
3001_21_JUMP_STREET_01.08.22.582-01.08.28.370,01.08.22.582,01.08.28.370,01.08.22.582,01.08.28.370,_
3001_21_JUMP_STREET_01.08.28.370-01.08.32.075,01.08.28.370,01.08.32.075,01.08.28.370,01.08.32.075,_
3001_21_JUMP_STREET_01.08.36.819-01.08.44.935,01.08.36.819,01.08.44.935,01.08.36.819,01.08.44.935,_
